avgTemp,minTemp,maxTemp,rainfall,price
-4.9,-11.0,0.9,0.0,2123.0
-0.1,-5.5,5.5,0.8,2123.0
-2.9,-6.9,1.4,0.0,2123.0
-1.8,-5.1,2.2,5.9,2123.0
-5.2,-8.7,-1.8,0.7,2209.0
-7.3,-11.4,-2.5,0.3,2209.0
-6.7,-11.2,-1.2,0.0,2266.0
-5.6,-11.4,1.4,0.0,2266.0
-3.1,-8.8,1.8,0.1,2266.0
-1.3,-5.0,2.8,0.0,2266.0
-1.5,-5.1,2.1,0.0,2266.0
-5.0,-8.2,-1.7,0.4,2266.0
-8.3,-11.4,-4.6,0.7,2266.0
-6.4,-12.7,0.0,0.1,2294.0
-2.6,-7.9,3.9,0.1,2294.0
-4.1,-9.9,2.9,0.0,2294.0
-3.1,-9.8,4.9,0.0,2294.0
-0.4,-7.1,7.7,0.0,2294.0
3.6,-4.6,11.0,0.3,2294.0
8.0,4.9,11.3,10.8,2276.0
1.3,-3.6,7.9,3.1,2296.0
-3.1,-5.7,0.8,0.0,2296.0
-2.7,-6.6,2.0,0.1,2296.0
0.4,-5.5,5.8,0.0,2296.0
0.8,-4.3,5.4,0.0,2288.0
-2.3,-7.7,4.3,0.0,2263.0
1.3,-5.9,7.4,6.5,2263.0
3.5,-0.7,7.4,0.1,2363.0
0.2,-4.3,5.0,0.0,2388.0
1.9,-3.3,7.5,0.0,2388.0
3.0,-1.3,9.4,0.0,2388.0
2.2,-1.0,6.8,0.2,2449.0
-2.0,-5.5,1.8,0.0,2527.0
-4.9,-8.6,-0.3,0.0,2604.0
-2.9,-8.4,2.2,0.1,2727.0
-1.8,-5.9,3.0,0.0,2782.0
-2.6,-8.5,4.7,0.0,2782.0
1.2,-8.3,8.6,0.1,2782.0
4.9,2.8,7.3,2.7,2951.0
5.6,3.6,7.8,6.9,2982.0
5.1,4.0,6.5,9.0,3082.0
2.4,0.7,5.2,17.3,3104.0
0.7,-0.6,2.7,3.1,3127.0
-0.7,-3.3,2.2,1.9,3127.0
-1.2,-4.9,2.5,0.0,3127.0
-0.5,-4.4,5.0,0.1,3127.0
-1.6,-5.0,3.2,0.6,3127.0
-1.2,-6.1,3.6,0.4,3216.0
-1.1,-4.8,2.4,0.5,3260.0
-0.6,-6.1,5.4,0.1,3270.0
2.2,-4.2,9.7,0.0,3270.0
3.7,-3.4,11.6,0.0,3270.0
5.2,-0.8,12.8,0.0,3245.0
6.4,-1.2,16.4,0.0,3445.0
11.2,1.2,18.9,0.0,3470.0
13.4,10.3,16.4,33.4,3445.0
9.4,6.0,13.5,4.1,3495.0
6.3,3.8,9.2,1.5,3495.0
7.1,3.0,12.6,0.1,3495.0
5.4,3.4,8.0,15.6,3495.0
4.2,1.8,6.9,0.3,3495.0
5.2,-0.4,10.5,0.0,3758.0
5.9,4.4,7.2,3.9,3820.0
6.9,5.0,9.4,3.8,3995.0
5.5,3.1,8.1,3.3,3995.0
4.2,2.3,7.0,0.9,3995.0
3.8,0.1,7.6,0.9,4108.0
2.3,-0.8,5.8,5.7,4295.0
-0.3,-2.9,2.6,3.9,4369.0
3.0,-2.8,8.4,0.0,4397.0
8.3,1.7,14.5,0.0,4326.0
6.1,1.6,12.5,0.0,4326.0
8.0,1.0,12.9,1.1,4326.0
9.4,4.5,14.4,16.5,4283.0
3.2,-0.4,7.2,0.0,4354.0
2.4,-2.7,7.3,1.1,4526.0
2.1,-1.8,6.5,2.3,4411.0
6.0,-3.5,13.9,0.0,4526.0
10.9,5.1,18.5,1.0,4526.0
4.7,1.0,9.3,0.0,4526.0
4.4,0.4,8.0,2.0,4569.0
7.0,3.3,11.4,2.4,4711.0
8.3,3.9,13.1,0.1,4740.0
5.1,1.4,8.5,4.6,4997.0
3.2,-2.0,8.0,0.0,5150.0
5.6,0.5,10.0,0.9,5150.0
6.2,1.7,11.4,0.0,5150.0
5.6,-1.3,12.9,0.0,5383.0
7.8,1.0,13.6,0.0,5569.0
8.8,6.3,10.9,18.8,5533.0
8.9,5.1,11.6,15.8,5658.0
7.3,1.3,12.7,0.0,5658.0
6.2,0.8,12.4,0.0,5658.0
8.4,-0.5,16.6,0.0,5658.0
11.9,4.9,19.0,0.0,5720.0
10.0,5.1,15.2,0.1,5901.0
6.9,1.4,12.9,0.1,5964.0
8.5,0.0,16.5,0.0,6026.0
11.5,4.6,19.5,0.0,6083.0
12.2,6.9,17.7,0.1,6083.0
12.3,7.9,17.0,0.9,6083.0
11.8,9.2,15.9,3.8,6095.0
6.9,3.0,11.3,1.6,6220.0
4.4,0.9,8.9,0.7,6220.0
6.2,-0.2,12.5,0.0,6220.0
7.4,0.2,14.4,0.0,6195.0
8.8,0.8,16.5,0.0,6195.0
10.9,3.8,16.3,0.2,6195.0
14.2,10.1,18.4,5.5,6195.0
15.6,10.2,22.5,0.2,6070.0
12.4,8.7,16.6,8.0,6058.0
9.9,7.9,12.3,13.9,6058.0
9.6,6.2,14.5,2.0,5995.0
10.5,4.0,17.6,0.0,5995.0
12.7,3.8,20.9,0.0,5995.0
12.4,9.0,17.5,23.7,5933.0
10.2,5.6,14.7,4.2,5870.0
6.3,3.2,10.0,7.8,5870.0
10.2,5.2,15.0,0.5,5870.0
11.4,5.7,16.8,0.0,5745.0
12.5,4.3,19.9,0.0,5745.0
16.8,7.3,25.1,0.0,5745.0
20.0,13.7,25.8,0.0,4620.0
20.8,15.0,27.1,0.0,4617.0
20.2,14.0,25.7,0.4,4617.0
17.6,11.6,23.6,5.2,4520.0
16.7,9.9,23.9,0.0,4493.0
17.2,9.3,24.8,0.0,4493.0
18.1,11.6,25.3,0.0,4493.0
16.6,12.4,22.0,0.1,4460.0
13.9,8.5,20.3,0.8,4400.0
13.8,7.9,20.4,0.0,4387.0
14.5,8.2,21.2,0.0,4302.0
15.9,8.7,23.1,0.0,4178.0
16.0,9.8,22.5,0.0,4178.0
18.3,10.2,26.5,0.0,4178.0
19.4,11.5,26.9,5.8,3886.0
18.0,16.4,19.7,51.4,3947.0
19.3,15.1,24.6,2.4,3997.0
20.6,13.9,28.2,0.0,3854.0
21.7,13.8,30.2,0.0,3854.0
17.8,14.7,22.6,24.2,3854.0
15.8,14.3,17.5,26.8,3854.0
15.0,13.5,17.3,4.8,3695.0
15.2,12.9,18.4,1.9,3576.0
16.3,11.9,21.4,0.2,3509.0
16.0,10.2,22.4,0.0,3463.0
15.5,11.3,20.0,0.0,3415.0
17.3,12.7,23.5,0.0,3415.0
16.8,11.5,22.9,0.0,3415.0
16.1,11.6,21.5,0.1,3239.0
16.4,9.7,23.1,0.0,2976.0
18.4,11.0,25.5,0.0,2976.0
20.5,13.5,27.6,0.0,2775.0
21.5,14.8,28.7,0.0,2691.0
22.0,15.3,29.6,0.5,2691.0
22.1,16.1,29.7,1.6,2691.0
21.7,16.3,28.3,0.6,2706.0
21.4,14.9,28.1,0.0,2706.0
22.4,14.8,30.0,0.0,2706.0
22.6,15.8,30.0,0.0,2698.0
